t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1970,5.2871855183,55.29490154918501,21.272265285979998,24.69161422453134,42.32355097851,34.66880147776079,42.846298355659144,109.01155696487531,76.07195489562383,11.743981242479999,107.11888852961839,59.033253795586724,22.3638873904,28.875424515471998,18.9547324691032,54.97872618450914,36.34399667272531,443.6983071808,25.167726617858502,689.7229601853778,125.54388491108558,99.27834520383631,48.87742898888,3.389140230110376,142.54347384274845,40.63234971468319
1971,5.36980693278,55.77527080822718,21.544664210982,25.005472396597348,42.4056271804,34.90733314545682,43.5960689353118,111.02382719135474,77.93865513928338,12.04544985327,106.83707489473653,58.68425135181954,22.703539188167998,28.627790476115138,19.32881881517402,54.24490201272797,36.82317208682458,451.665396971776,25.197011636620793,706.5404422964342,128.24534897017395,101.0936728937356,48.787803560572,3.416834818476409,145.63450944828315,41.49262085566061
1972,5.443738258464,56.25704403406541,21.809511829504,25.317677598226716,42.44893445195,35.13108346526554,44.336499369190065,113.0827386354581,79.85314254396341,12.359387187240001,106.52696536191527,58.32765968195986,23.054592135872003,28.3679308165018,19.708179845479044,53.510243589754914,37.301010304764226,459.81360582190405,25.210503558155686,723.1125214077358,130.95617067822215,102.93075227114511,48.695631900516,3.441220503539214,148.83605278384252,42.38959102969571
1973,5.511602630495999,56.742467724193084,22.061722768482,25.624860701868567,42.45850786869,35.34275123384991,45.08012422230687,115.21772288412458,81.82174373067403,12.682136512259998,106.18271271442586,57.964186267262704,23.407526113692,28.091727698727837,20.086098074763918,52.77254063708965,37.78228399109577,468.178025815808,25.19344401584922,739.1569305197886,133.655632268458,104.78300958152462,48.580604450702005,3.4629998481399165,152.12671834270506,43.322313107340854
1974,5.577420483228,57.232790716666,22.29526051467,25.9224749786975,42.44030397789,35.545808410662644,45.84430991876404,117.46725621287435,83.85315583844515,13.00850910009,105.79550591262124,57.59428048731301,23.749813578480005,27.793603211582,20.45265564315164,52.02627561449086,38.273200264090526,476.8046534352641,25.127668182957716,754.3568798617777,136.31724110056538,106.64320791917355,48.4179861016,3.4831401088689504,155.47888317879415,44.288897801811956
1975,5.6441687180799995,57.72912395969205,22.50482158189,26.207457880498175,42.3977485498,35.74192849889613,46.641962155046805,119.85588624073851,85.95397242993889,13.33496215275,105.3596522651678,57.21721579995062,24.07272133076,27.4704716686,20.80145405540987,51.267799816531,38.7786201550654,485.72113671544,25.00287708088975,768.5102438486874,138.9278020758291,108.50544108438301,48.19143935100001,3.5023831801288767,158.87273844710424,45.28753559478785
1976,5.708515160526001,58.22029170070581,22.710506464500003,26.521122754558014,42.37376391504,35.93341668153942,47.48121364344191,122.39769875621619,88.11826724096477,13.658538782376,105.11136642077633,56.855514534813835,24.470240246984,27.15941184345877,21.175848104828095,50.68793862742014,39.45068653017538,494.69096950687606,24.800223527323777,777.7211503858713,141.26421383351814,110.22264920494085,48.092589459900005,3.5568768308906447,161.9058628367271,46.27228962500909
1977,5.774092995354001,58.72300505930091,22.89151092873,26.824278560414946,42.322844398142,36.11611618322664,48.35165141216334,125.07543623737278,90.35423707305702,13.981523730782003,104.82338187598758,56.484367705935014,24.851470558583998,26.82637417033455,21.536603873809415,50.10159043676955,40.13984363885724,503.9229853635841,24.54245647746436,785.7444326317144,143.5408153247428,111.92641695474806,47.932607232521995,3.611717090152399,164.95666062916442,47.28363259586904
1978,5.839938927076,59.23410458578271,23.037665594310003,27.119336508591733,42.244161184796,36.28402123044288,49.2599329600315,127.85450088799585,92.66130788429925,14.308237332612,104.49498196189506,56.09550847818594,25.221082783904,26.47758934400792,21.891662930513565,49.509654880130775,40.86398701268869,513.368742732536,24.24882300116802,792.9281223463478,145.8286508447661,113.61915925946451,47.723671567088,3.6672341103100607,168.03148679158954,48.32000670197031
1979,5.904400079886,59.748551611536016,23.137023888300003,27.409770787449833,42.13651250448,36.42947882447697,50.21344400668226,130.6869040458775,95.0377410419719,14.644904898346,104.12538810689449,55.6786360584676,25.586345786672002,26.121085801481996,22.25209759257916,48.913134450522875,41.645470991012665,522.962227813432,23.94377219997718,799.761585228132,148.22267967385986,115.30560895636411,47.48361333924599,3.723733475577546,171.14156035689115,49.3797488968001
1980,5.96652633349,60.263727335209346,23.1830746081,27.698015779101542,41.99725518308,36.547364144259504,51.21508533747109,133.53885548661808,97.4828027438804,14.995572565500002,103.71632235227284,55.226636818166156,25.9518918552,25.762303454397777,22.62570260182744,48.3120549563623,42.49417717539315,532.65193875306,23.642564462230414,806.6226078819336,150.78500523101326,116.98716717153152,47.224565210639994,3.781470586221924,174.29524636077238,50.4605482298442
1981,5.994006461800001,60.46704975189796,23.309414702508,28.03125441456153,41.89621985598,36.69461271758255,52.2434195890208,136.45380124020883,100.04002756724604,15.325306089856,103.5534389357218,55.085986084631635,25.708545320288,25.44775262138124,23.071840041690603,48.0427606665934,43.5184842984291,543.14765484388,23.36954588239493,810.6364971599318,153.4658516319308,118.30898315431745,47.363458600376,3.8450603819595517,178.00795112972335,51.64987278724298
1982,6.019011004482,60.667923179576,23.39167800777,28.36391359452941,41.760587903616,36.81594602458427,53.3098662408166,139.39172052078743,102.66088446868733,15.667329904050002,103.35890238080482,54.91082808458382,25.437136396,25.129793582970578,23.530400592216907,47.767409359619094,44.59852233742545,553.74951904924,23.096372777161218,814.5910977299727,156.3012576952655,119.60197463553345,47.489264770048,3.91020225648594,181.78307358690668,52.86307435734521
1983,6.044460607576,60.876994028297574,23.443762720768,28.695336273264193,41.579326791288004,36.91513447160505,54.39885774143602,142.36615541277408,105.3638448941928,16.01433976064,103.15074369974994,54.70744083287585,25.131308447951998,24.808259280866398,24.001910706417068,47.48778598142074,45.696496691910575,564.44970563904,22.812003138946743,818.7121623792646,159.22166692760487,120.85188511193756,47.593434943404,3.976900247159028,185.6318008422731,54.09039717590389
1984,6.074213777962,61.108275486608555,23.483988340032,29.02437159394956,41.33955858908,36.99753077187901,55.490301398079986,145.39870312720268,108.17381933795404,16.356247422462,102.95213759219699,54.48517714410349,24.783306345616,24.482435292644645,24.48632019440567,47.2065446097751,46.764440363156275,575.24576184768,22.501786604734374,823.2492099941447,162.1291060942004,122.04101822798413,47.663633374136,4.045116292788812,189.5684316458757,55.31954361693537
