t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1970,21.716855,209.469321,51.910162,43.113562,95.991361,95.439084,71.828818,140.78148,85.700019,22.501928,350.94088,115.349788,36.20744,59.950505,33.177485,142.789699,66.530928,552.963992,45.686618,839.078094,166.346361,119.474658,104.447878,16.999934,167.600442,45.943272
1971,22.04843,211.370782,53.551863,44.069013,98.354696,97.626847,73.619116,144.354983,88.112354,23.106117,352.957668,116.25566,37.160678,60.444413,34.008433,143.706943,68.67008,565.107296,46.734599,859.5515347,170.572254,122.318484,105.895154,17.281597,172.036526,47.25866
1972,22.344102,213.279037,55.236608,45.039523,100.735505,99.843446,75.419848,148.038467,90.595965,23.735644,354.914351,117.171726,38.153936,60.929105,34.857409,144.659444,70.888315,577.574017,47.799236,879.7271004,174.842916,125.219758,107.383041,17.551115,176.645499,48.635511
1973,22.614672,215.202614,56.953761,46.019471,103.147263,102.098101,77.252726,151.873001,93.158814,24.383566,356.789741,118.099863,39.172629,61.395096,35.712754,145.64331,73.199494,590.412256,48.853047,899.2613691,179.131095,128.171383,108.868003,17.811793,181.404311,50.074097
1974,22.876657,217.146269,58.689345,47.000885,105.607047,104.40292,79.148452,155.912799,95.811685,25.039959,358.551875,119.041523,40.19642,61.828975,36.556842,146.644995,75.621412,603.684686,49.859233,917.7688948,183.40135,131.16529,110.29355,18.068422,186.282001,51.573601
1975,23.142272,219.114242,60.430229,47.978201,108.12718,106.765463,81.130892,160.194974,98.563104,25.698025,360.178339,119.995777,41.210534,62.222,37.377996,147.655155,78.170591,617.431658,50.793468,935.0037115,187.635652,134.194877,111.618852,18.324779,191.256424,53.133275
1976,23.416091,221.121177,62.177978,48.949454,110.708145,109.191154,83.20176,164.740245,101.417588,26.353692,361.674333,120.964041,42.208117,62.570049,38.171989,148.675678,80.839371,631.669837,51.64096,950.8076022,191.807429,137.252656,112.822425,18.582036,196.319884,54.752672
1977,23.695197,223.174584,63.926697,49.917166,113.346343,111.674924,85.358554,169.533998,104.376005,27.009817,363.052484,121.940371,43.192606,62.878702,38.946395,149.71514,83.633436,646.373324,52.414197,965.3067939,195.94224,140.335774,113.912077,18.840332,201.478834,56.431725
1978,23.975642,225.262538,65.647467,50.885773,116.043911,114.200987,87.615051,174.534309,107.438848,27.674758,364.307956,122.907015,44.171879,63.160728,39.715433,150.777368,86.597132,661.486054,53.149505,978.9117456,200.13699,143.447808,114.912622,19.101382,206.743199,58.170115
1979,24.250639,227.365932,67.30379,51.861871,118.80216,116.747128,89.98675,179.679641,110.605262,28.360603,365.435567,123.840622,45.158644,63.434183,40.499203,151.866807,89.787502,676.928191,53.898846,992.2163563,204.523681,146.595382,115.863993,19.366763,212.129227,59.967384
