t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1991,35.32039,44.24333,25.30237,14.02723,15.46604,12.71797,12.06858,7.965537,4.909587,7.683859,36.32702,21.63239,21.70598,18.82802,14.76211,18.56039,15.13422,5.753808,20.18183,10.83311,8.928774,8.654023,25.83753,37.90657,10.7599,7.022159
1992,35.42892,44.96628,25.64528,14.04222,15.26652,13.26147,12.03414,7.931029,4.913833,7.404448,36.53707,21.11955,21.87972,17.12425,14.93,17.22526,15.4978,5.751529,20.62279,11.98947,9.00751,8.695429,26.17746,37.97095,10.76051,6.888559
1993,35.63491,45.55783,25.59044,13.99996,15.57726,14.03236,11.96457,7.909344,4.923928,7.363441,36.46559,20.99724,22.58088,15.87593,14.69222,17.23278,15.1384,5.774317,21.0969,13.28884,9.120133,8.862296,26.33747,38.11469,10.74735,6.734293
1994,36.24053,46.20058,25.93344,14.0634,16.19197,14.24727,12.03302,7.893327,4.90584,7.475339,36.73825,21.35872,21.82591,15.4362,14.23795,17.29244,15.43724,5.800065,21.83521,13.87247,9.280456,8.98841,26.69079,38.63217,10.73034,6.685007
1995,36.56569,46.63131,24.44617,14.15885,16.97293,14.27507,11.96007,7.910188,4.933607,7.740202,36.98597,21.69687,22.24059,15.29852,13.96634,17.21573,15.31384,5.842433,22.76493,15.03769,9.400278,9.189638,26.93835,40.0347,10.75215,6.728094
1996,37.08445,47.16445,24.48842,14.37505,17.1923,14.42119,12.02406,7.925798,4.950861,7.931079,37.3068,22.35403,22.96488,15.08721,13.87796,17.09254,15.51109,5.909287,23.38409,16.26821,9.50829,9.382595,27.26133,40.9579,10.78098,6.816355
1997,38.2391,47.68629,25.03743,14.56943,17.3926,14.88328,11.99687,7.9453,4.984264,8.052969,37.62811,22.79837,23.71815,15.24041,13.88569,17.24152,15.00697,5.911762,23.62816,16.85773,9.551762,9.551497,27.34172,41.41227,10.76183,6.908302
1998,38.84041,48.354,27.37318,14.79519,17.15068,14.93612,12.00854,7.977669,4.965185,8.071925,38.11846,23.15083,23.61081,15.46146,13.89133,17.16335,15.09284,5.963315,21.88584,17.42076,9.406292,9.408441,27.19393,42.56885,10.7745,6.941204
1999,39.75402,49.15179,27.75415,14.99513,17.04455,14.49109,12.04156,7.984169,4.958611,8.096094,38.64341,23.58483,23.44706,15.52212,13.87846,17.09284,15.10863,6.012451,23.01346,18.45575,9.461824,9.50378,27.31941,43.86106,10.77339,7.004959
2000,40.72153,49.76194,28.59022,15.24828,17.36487,14.54593,11.93703,7.949854,4.934801,8.31014,39.13281,23.94916,23.95723,15.76057,13.81979,17.28382,15.31426,6.033303,23.87879,19.27687,9.454831,9.523287,27.40846,44.82919,10.80059,6.929606
