t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1980,18.54975066651,169.21109666479066,45.68913539189999,25.15227922089846,79.62111381691999,82.7503718557405,41.266438662528905,51.387486513381916,16.3927502561196,14.079701434499999,262.7225086477271,69.49696618183386,20.2094241448,37.94974454560222,18.68637739817256,104.6731080436377,50.74408182460685,159.98536424693998,31.056130537769587,199.06457311806645,58.40660076898674,32.79387382846846,69.56963078936,15.856311413778077,43.354840639227625,11.361715770155797
1981,18.7758435382,171.115256248102,47.029326297492,25.82134058543847,82.59779514402,85.15040428241745,42.8579434109792,53.80835375979116,17.200671432753957,14.498819910144,263.76031006427814,70.45620891536838,21.474871679712,38.547777378618754,19.082431958309396,106.07896033340661,53.44645170157089,165.44136415612002,32.19209611760507,208.97485984006818,60.71350736806919,34.69544784568256,70.350089399624,16.07005161804045,45.29505987027665,12.087140212757022
1982,18.997035995518,173.036979820424,48.325416992230004,26.503689405470592,85.657726096384,87.57823297541572,44.5239987591834,56.312379479212574,18.04160953131267,14.935195095949998,264.72400561919517,71.38568191541619,22.782363603999997,39.15022641702942,19.48988040778309,107.50129864038091,56.33649966257455,171.03454295075997,33.37690422283879,219.1171582700272,63.1426413047345,36.654015364466545,71.12003222995199,16.288791743514057,47.30347041309333,12.846263642654787
1983,19.222488392424,175.0071389717024,49.602509279232,27.198967726735805,88.781371208712,90.04315552839496,46.25414625856398,58.90738658722593,18.919825105807213,15.382140239360002,265.6587653002501,72.29188716712416,24.127222552048,39.7568767191336,19.90920629358293,108.94463801857925,59.376790308089426,176.76484636096004,34.59808186105326,229.5594226207354,65.67032107239513,38.665886888062445,71.86619905659599,16.512496752840974,49.38485715772691,13.637893824096109
1984,19.464647222038,177.06733951339143,50.89786765996799,27.90631440605044,91.94162641092,92.55937922812097,48.033147601920014,61.60521087279732,19.841056662045943,15.830065577537999,266.62409440780306,73.1859368558965,25.501779654384002,40.36658370735535,20.34041680559433,110.4158693902249,62.51140163684372,182.63382215232,35.834574395265626,240.38719700585523,68.2586389057996,40.72547677201587,72.569128625864,16.740957707211187,51.54514735412428,14.459850383064627
1985,19.73184964152,179.247059225245,52.239945436,28.62519707181466,95.11670011558,95.13697274567448,49.847494220878666,64.41590335289301,20.8090891953702,16.272529823,267.6644414300889,74.07382664509018,26.899957691200004,40.977087739487146,20.78207952795044,111.91432339489653,65.69497444906727,188.64215613000005,37.06943619252184,251.66188532280202,70.87786634849805,42.82788290619788,73.2159919986,16.973777026050264,53.78882491811124,15.310711354738023
1986,20.003830271355998,181.58392204025046,53.61533022289599,29.401048768962994,98.20605956406001,97.6868413794227,51.58219398531469,67.34256500532695,21.941443962777175,16.82006653755,268.8332544921463,74.85910963816774,28.11810545292,41.46358367425519,21.15254123212668,113.22231697771467,68.64829970256324,194.70486475310202,38.35858315850756,263.6060924672825,73.58105793615456,45.13750133362085,74.176621358856,17.2332208321254,56.01843871007161,16.217078994101417
1987,20.299801168920002,184.04477813846242,55.03964631072,30.18967694678353,101.29895178572,100.2912100205456,53.33918459253181,70.38447533051529,23.131678790993732,17.36496461606,270.0832003727492,75.6340947466789,29.3504952395,41.945471041606204,21.527502068628802,114.54263697721527,71.61912195079573,200.89550371889607,39.6457428682065,276.04921800116733,76.3111548114801,47.4930361425622,75.08583971328599,17.49716864979158,58.32797513321933,17.153707642584152
1988,20.609423378004003,186.6082672972559,56.510733098273995,30.99286858620005,104.39092531333999,102.94403554119981,55.10400603459429,73.54990148062922,24.366891605444643,17.9192373325,271.41377972973174,76.37103254554314,30.60299654137,42.412106234196244,21.89356277410137,115.81753463813354,74.59543174408518,207.21588444281997,40.9305331833047,288.8560016387738,79.07491453592431,49.89307261768117,75.96282595180801,17.764087542663034,60.714710938514756,18.125927248182336
1989,20.917802997556,189.24129180060888,58.021667011436,31.813170576996928,107.47981959660001,105.6361227424188,56.85940356168804,76.8486987113622,25.627393213947503,18.500609688959997,272.8176199322638,77.0318796431508,31.885174346039996,42.84951568041898,22.233340306604333,116.97008031966774,77.56810136758013,213.669363277664,42.21492357848125,301.8104530362788,81.88639867131045,52.33683856350532,76.83567625781998,18.031961176428347,63.17394400187162,19.14170553762161
1990,21.21386801028,191.9190986718265,59.56628419106001,32.65199936234816,110.5654939217,108.35952622486991,58.592510264870086,80.2875065528603,26.899183686881678,19.12114291471,274.2846493407174,77.5903740508693,33.20470351352,43.246128249935786,22.53448909444887,117.94498763715836,80.5313022392158,220.25641679883998,43.50054674964399,314.73384825412757,84.75513150669521,54.823779324495646,77.72492602185,18.29914826286241,65.7013711225459,20.20715761235754
1991,21.543479923122,195.2181461362204,61.054691133184,33.606651990515026,113.52756321006001,111.0635270764505,60.241387045662165,83.84169521343654,28.146867293190155,19.771310758900004,275.84477912274303,77.74920118523274,34.12596701241,43.337376540410204,22.685890447435476,118.2221859596551,83.39477074318133,226.70834796026998,44.363854636362035,329.54904404533085,87.25829209457335,57.50068948385618,78.39326270928599,18.58388296155086,68.14157896893656,21.2817416163105
