t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1991,45.14386,56.65166,32.58628,18.48466,19.83563,16.31157,15.95839,10.70533,6.707179,10.12135,46.7061,28.28318,28.36827,24.44835,19.61153,23.90502,19.76008,7.7939,26.07205,14.64272,12.0072,11.65549,33.62964,48.07789,14.60806,9.519649
1992,45.26579,57.5411,33.00988,18.49301,19.55723,16.99759,15.90791,10.65361,6.710454,9.748256,46.96763,27.60949,28.57671,22.23376,19.84181,22.18643,20.22542,7.789073,26.62047,16.19052,12.10934,11.69946,34.05986,48.14598,14.60463,9.332823
1993,45.51196,58.26072,32.92112,18.42596,19.93167,17.97379,15.81104,10.61916,6.721715,9.689239,46.86721,27.44644,29.47316,20.61087,19.53294,22.19714,19.74718,7.818188,27.21041,17.92836,12.25697,11.91199,34.25568,48.31447,14.58253,9.118251
1994,46.26796,59.04414,33.3437,18.49799,20.69285,18.23677,15.89655,10.59235,6.694512,9.831362,47.209,27.91572,28.46897,20.03799,18.93591,22.27501,20.12758,7.851298,28.13947,18.69826,12.46859,12.06939,34.70266,48.95636,14.5552,9.046004
1995,46.66526,59.55499,31.41366,18.61197,21.66337,18.25986,15.79526,10.60967,6.72988,10.17439,47.51856,28.35442,28.9906,19.85724,18.58146,22.17719,19.95728,7.906888,29.31301,20.24994,12.62568,12.32724,35.01176,50.71898,14.58053,9.098774
1996,47.29701,60.19741,31.45541,18.88585,21.91532,18.43565,15.8756,10.62473,6.75142,10.41994,47.92065,29.21287,29.91674,19.58117,18.46829,22.01944,20.20529,7.99554,30.10213,21.88475,12.76573,12.56979,35.42666,51.86826,14.61483,9.213513
1997,48.73781,60.82385,32.14768,19.13077,22.14116,19.01472,15.83554,10.64498,6.794964,10.57463,48.32312,29.79322,30.87938,19.77819,18.483,22.2123,19.53981,7.997064,30.40805,22.65486,12.81904,12.77954,35.52623,52.42287,14.58407,9.33312
1998,49.47127,61.63459,35.13247,19.41655,21.80294,19.07034,15.84679,10.68244,6.766957,10.59405,48.94239,30.25345,30.72093,20.0632,18.49493,22.11252,19.64272,8.064963,28.15809,23.38789,12.61884,12.57191,35.32932,53.86532,14.59645,9.372883
1999,50.60059,62.60909,35.60682,19.66812,21.63662,18.49038,15.88619,10.68524,6.756004,10.62026,49.60575,30.82024,30.48916,20.14007,18.48221,22.02262,19.65432,8.129563,29.60071,24.75244,12.68835,12.68295,35.48742,55.47786,14.59015,9.454252
2000,51.79612,63.34247,36.66423,19.9891,22.00975,18.54835,15.74413,10.63345,6.721586,10.89536,50.22316,31.29597,31.13329,20.44757,18.40847,22.26962,19.9127,8.155902,30.70525,25.82771,12.67399,12.69262,35.59816,56.67897,14.62219,9.347891
2001,52.27489,63.63181,36.76712,20.05025,22.39414,18.38278,16.06091,10.73272,6.752647,11.11208,50.57035,32.06544,29.87456,21.19229,18.53658,22.62868,20.31877,8.230965,31.48443,26.36611,12.93879,12.73672,35.87618,57.63442,14.63518,9.351624
2002,53.25927,63.86241,36.78953,20.23256,22.27605,17.51169,16.21321,10.83182,6.768214,11.30283,50.75669,32.92258,30.36022,21.9012,18.68183,22.99263,20.63328,8.245182,32.79264,27.43851,13.04736,12.81039,36.05674,58.41243,14.66413,9.459786
2003,53.99258,64.3355,36.9635,20.18788,22.35549,17.75667,16.2909,10.78091,6.763487,11.53585,50.96394,33.65203,31.66561,22.80264,18.79623,23.33881,20.53044,8.326089,32.63626,28.39746,13.21244,12.86483,36.11503,59.385,14.67511,9.480637
2004,54.8585,64.82673,37.81919,20.52915,22.02835,18.66837,16.39884,10.88594,6.801137,12.16139,51.26485,34.68405,33.18048,23.79324,18.93721,23.92354,20.89659,8.404492,32.61052,29.82125,13.44691,12.97251,36.4007,60.95421,14.70963,9.515625
2005,55.90771,65.26803,38.53873,21.10978,22.41161,19.64258,16.56101,10.8977,6.865706,12.87091,51.50455,35.50605,34.27968,25.50182,19.13153,24.55284,20.98194,8.548355,33.31401,31.45791,13.64414,13.05732,36.64393,62.12172,14.78554,9.599976
2006,57.07669,65.74067,39.41676,21.35308,22.91873,20.76046,16.76565,10.91286,6.936081,13.83523,51.78133,36.3423,34.86789,27.10458,19.37328,25.26059,21.07849,8.679399,34.0299,33.44551,13.83881,13.1253,37.01754,62.58446,14.83207,9.647649
2007,56.67965,65.47626,40.05108,21.71741,24.10821,22.16546,16.99257,11.00304,6.998744,14.7131,52.0573,37.95651,35.37363,29.11557,19.61212,26.16998,21.67913,8.800338,34.81779,35.40006,14.05878,13.25664,37.03679,63.38032,14.87629,9.807387
2008,56.91138,64.78478,40.59719,22.30357,25.05995,24.55634,17.77886,11.07664,7.100338,14.91882,52.30286,38.83558,34.84322,30.53681,19.42373,26.50416,22.75601,8.870969,34.74667,39.22796,14.5621,13.4606,37.80492,63.0949,15.0644,10.26943
